nombre;referencia;codigo_barras;invima;cum;codigo_producto_dian;existencias;impuesto;precioventa_con_impuesto;precio_venta_base;precio_venta_minimo;descuento_maximo_ps;precio_compra;precio_compraipm;total_impoconsumo;total_estampilla;icui;ibua;costo;stock_minino;es_ingrediente;manejo_bascula;vender_solo_existencia;realizar_pedido_solo_existencia;utilidad;mostrar_tienda;categoria;marca;codigo_cuenta;precio1;precio2;precio3;precio4;ubicacion;proveedor;nit_proveedor;url_imagen;nota;tipo_producto
CABLE DE PODER GRABADORA 1.5 METROS;;;;;;998;0;2755;2755;0;0;2555.555556;2555.555556;0;0;0;0;2555.555556;5;;;;1;7.239362775;TRUE;ACCESORIOS;GENERICA;;11215.27778;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE ECO TC KN-89;;;;;;990;0;1917;1917;0;0;1777.777778;1777.777778;0;0;0;0;1777.777778;5;;;;1;7.262505071;TRUE;ACCESORIOS;GENERICA;;10388.88889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE ECO V8 KN-88;;;;;;1100;0;1677;1677;0;0;1555.555556;1555.555556;0;0;0;0;1555.555556;5;;;;1;7.24176768;TRUE;ACCESORIOS;GENERICA;;10152.77778;0;0;0;;KINOTEC MEDELLIN;;;;Estandar
CABLE FINO PANTALLA;;;;;;998;0;10182;10182;0;0;9444.444444;9444.444444;0;0;0;0;9444.444444;5;;;;1;7.243719854;TRUE;ACCESORIOS;GENERICA;;18534.72222;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE HDMI 1.5MT;;;;;;1000;0;4911;4911;0;0;4555.555556;4555.555556;0;0;0;0;4555.555556;5;;;;1;7.23772031;TRUE;ACCESORIOS;GENERICA;;13340.27778;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE HDMI 3MT;;;;;;996;0;6229;6229;0;0;5777.777778;5777.777778;0;0;0;0;5777.777778;5;;;;1;7.243895043;TRUE;ACCESORIOS;GENERICA;;14638.88889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE HDMI 5MT;;;;;;990;0;7307;7307;0;0;6777.777778;6777.777778;0;0;0;0;6777.777778;5;;;;1;7.242674452;TRUE;ACCESORIOS;GENERICA;;15701.38889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE IPHONE 15 TC 60W;;;;;;1290;0;6589;6589;0;0;4500;4500;0;0;0;0;4500;5;;;;1;31.70435574;TRUE;ACCESORIOS;GENERICA;;14993.05556;0;0;0;;ORMI;43445;;;Estandar
CABLE IPHONE USB;;;;;;1017;0;3354;3354;0;0;2750;2750;0;0;0;0;2750;5;;;;1;18.00834824;TRUE;ACCESORIOS;GENERICA;;11805.55556;0;0;0;;4 PLAY;5533;;;Estandar
CABLE MI C-C;;;;;;999;0;4193;4193;0;0;3888.888889;3888.888889;0;0;0;0;3888.888889;5;;;;1;7.252828789;TRUE;ACCESORIOS;GENERICA;;12631.94444;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE ORG TC TC DE IP 1M;;;;;;987;0;5750;5750;0;0;5333.333333;5333.333333;0;0;0;0;5333.333333;5;;;;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;14166.66667;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE ORIGINAL DE IPHONE 1M -65;;;;;;962;0;29948;29948;0;0;27777.77778;27777.77778;0;0;0;0;27777.77778;5;;;;1;7.246634908;TRUE;ACCESORIOS;GENERICA;;38013.88889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE ORIGINAL DE IPHONE 2M -28;;;;;;997;0;32344;32344;0;0;30000;30000;0;0;0;0;30000;5;;;;1;7.247093742;TRUE;ACCESORIOS;GENERICA;;40375;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE ORIGINAL IPHONE TC TC 29;;;;;;1296;0;32943;32943;0;0;25300;25300;0;0;0;0;25300;5;;;;1;23.20067996;TRUE;ACCESORIOS;GENERICA;;40965.27778;0;0;0;;OLAF;6742;;;Estandar
CABLE PLAY 2;;;;;;1000;0;3354;3354;0;0;3111.111111;3111.111111;0;0;0;0;3111.111111;5;;;;1;7.241767707;TRUE;ACCESORIOS;GENERICA;;11805.55556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
