nombre;referencia;codigo_barras;invima;cum;codigo_producto_dian;existencias;impuesto;precioventa_con_impuesto;precio_venta_base;precio_venta_minimo;descuento_maximo_ps;precio_compra;precio_compraipm;total_impoconsumo;total_estampilla;icui;IBUA;costo;stock_minimo;es_ingrediente;manejo_bascula;vender_solo_existencia;realizar_pedido_solo_existencia;utilidad;mostrar_tienda;categoria;marca;codigo_cuenta;precio1;precio2;precio3;precio4;ubicacion;proveedor;nit_proveedor;url_imagen;nota;tipo_producto
CABLE DATOS V8;;;;;;978;0;3354;3354.166667;0;0;3111.111111;3111.111111;0;0;0;0;3111.111111;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;11805.55556;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE DE DATOS TC;;;;;;999;0;4073;4072.916667;0;0;3777.777778;3777.777778;0;0;0;0;3777.777778;5;FALSE;FALSE;FALSE;1;7.246376811;TRUE;ACCESORIOS;GENERICA;;12513.88889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE DE IP TC A TC;;;;;;915;0;5391;5390.625;0;0;5000;5000;0;0;0;0;5000;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;13812.5;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE DE PODER GRABADORA 1.5 METROS;;;;;;998;0;2755;2755.208333;0;0;2555.555556;2555.555556;0;0;0;0;2555.555556;5;FALSE;FALSE;FALSE;1;7.246376811;TRUE;ACCESORIOS;GENERICA;;11215.27778;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE ECO TC KN-89;;;;;;990;0;1917;1916.666667;0;0;1777.777778;1777.777778;0;0;0;0;1777.777778;5;FALSE;FALSE;FALSE;1;7.246376811;TRUE;ACCESORIOS;GENERICA;;10388.88889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE ECO V8 KN-88;;;;;;1100;0;1677;1677.083333;0;0;1555.555556;1555.555556;0;0;0;0;1555.555556;5;FALSE;FALSE;FALSE;1;7.246376785;TRUE;ACCESORIOS;GENERICA;;10152.77778;0;0;0;;KINOTEC MEDELLIN;;;;Estandar
CABLE FINO PANTALLA;;;;;;998;0;10182;10182.29167;0;0;9444.444444;9444.444444;0;0;0;0;9444.444444;5;FALSE;FALSE;FALSE;1;7.246376812;TRUE;ACCESORIOS;GENERICA;;18534.72222;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE HDMI 1.5MT;;;;;;1000;0;4911;4911.458333;0;0;4555.555556;4555.555556;0;0;0;0;4555.555556;5;FALSE;FALSE;FALSE;1;7.246376811;TRUE;ACCESORIOS;GENERICA;;13340.27778;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE HDMI 3MT;;;;;;996;0;6229;6229.166667;0;0;5777.777778;5777.777778;0;0;0;0;5777.777778;5;FALSE;FALSE;FALSE;1;7.246376811;TRUE;ACCESORIOS;GENERICA;;14638.88889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
CABLE HDMI 5MT;;;;;;990;0;7307;7307.291667;0;0;6777.777778;6777.777778;0;0;0;0;6777.777778;5;FALSE;FALSE;FALSE;1;7.246376811;TRUE;ACCESORIOS;GENERICA;;15701.38889;0;0;0;;CONSUMIDOR FINAL;99;;;Estandar
